PERSON_ID,FIRST_NAME,LAST_NAME,SEX,PHONE_NUMBER,DOB,ADDRESS,CITY,ZIP,STATE
6886,Mary,Parks,F,(577) 964-5364,7/19/76,7528 Young Dr.,Oshkosh,50842,WI
1846,Letitia,Randall,F,(688) 813-4368,12/15/78,226 East El Dorado Street,Redlyn,60016,ME
3812,Hector,Figueroa,M,(522) 872-6357,11/13/50,182 North Lower River Dr.,Battle Creek,72026,MT
2086,Emily,Serrano,F,(226) 610-4428,10/5/51,9407 Walnut Avenue,Kings Fork,14843,OR
7238,Sybil,Kramer,M,(208) 941-0962,8/4/55,9167 SW. Greenview Street,Hoover,75436,CA
8590,Bruce,Ball,M,(274) 923-0869,10/21/65,7107 Philmont St.,Aina Haina,29303,ID
958,Gustavo,Ross,M,(994) 686-0332,3/16/64,78 Corona Dr.,El Macero,48350,TN
5802,Shelton,Gill,M,(648) 542-2778,12/30/64,842 Cherry Hill Dr.,Herberts Corner,49961,ID
8810,Kelvin,Lane,M,(487) 535-6383,10/23/80,180 St Paul Ave.,Lawrence,31567,CA
554,Shawn,Brown,M,(203) 623-0830,10/29/52,585 Hanover Dr.,Youngstown,46680,TX
6295,Liza,Hays,F,(839) 347-5990,5/7/51,391 Lancaster Street,Islamabad,18655,OR
389,Eduardo,Lowery,M,(954) 557-0275,3/7/88,66 Pilgrim Drive,Niamey,99578,TN
4438,Chauncey,Hicks,F,(788) 261-9752,12/28/11,87 Amherst Street,Mission Dorado,30732,CA
9887,Goldie,Guerrero,F,(749) 286-5906,11/13/76,54 Tanglewood Rd.,Avon,33388,OR
5093,Cory,Blair,M,(580) 873-7347,3/12/90,219 Brewery Street,Plaistow,62704,ID
8422,Numbers,Melton,M,(866) 911-4990,12/10/99,232 Vernon St.,Waterbury,62631,CA
2231,Abe,Pham,M,(522) 304-2482,5/19/91,992 Thatcher Lane,Panama City,85212,TN
6813,Carroll,Lucero,F,(426) 267-2989,8/20/85,7346 Albany Lane,Huntington,67106,OR
5828,Elijah,Marsh,M,(566) 849-7759,8/26/63,7703 Gainsway St.,Fairfield,79830,CA
1637,Leola,Cox,F,(754) 934-6418,4/29/90,8505 North Colonial Lane,Union City,51238,CA
1078,Saul,Dougherty,M,(947) 233-1110,6/25/64,44 North New Saddle Ave.,Irvine,48437,ID
5567,Tammy,Romero,F,(303) 564-0774,8/21/17,988 W. Clay St.,Alhambra,24078,TX
269,Emmitt,Abbott,M,(657) 689-9874,11/11/82,8982 Lawrence St.,Houston,60033,TN
6656,Nadine,Crane,F,(548) 491-4712,8/12/60,10 Oak Meadow Drive,Davis,13148,CA
7511,Israel,Townsend,M,(662) 658-8869,8/18/58,4 Lafayette St.,Midwest City,36528,OR
1925,Broderick,Banks,M,(804) 903-1743,3/28/62,230 Depot Street,Rapid City,90802,FL
6060,Aron,Morris,M,(724) 915-2813,8/14/71,8410 Edgemont Road,Arden-arcade,34797,ID
8859,Bernardo,Middleton,M,(532) 655-9265,10/24/80,989 Heritage Ave.,Oslo,77597,OR
9227,Stefanie,Perkins,F,(692) 610-4761,8/11/10,9 North Carson Road,Guaynabo,15901,TX
6963,Elnora,Kennedy,F,(699) 960-4286,7/6/72,9336 East Indian Spring Street,Bogot,20751,FL
421,Douglas,Quinn,M,(496) 713-6314,1/24/62,180 Hauser Ct S,Hope,47246,IN
9438,Burt,Sexton,M,(871) 435-4687,6/13/93,24 Peabody Pl,Franklin,3235,NH
4689,Lynn,Larson,F,(990) 926-4752,5/11/99,759 State 1917 Rte,Providence,42450,KY
2943,Sylvia,Mcfarland,F,(230) 574-9647,10/23/09,29 Cumberland Vlg,Carmichaels,15320,PA
8201,Diann,Mueller,F,(256) 949-3230,9/3/98,112 Big Mountain Rd,East Bank,25067,WV
29,Ines,Pitts,M,(880) 906-2958,12/18/06,112 Sussex St,Buffalo,14215,NY
8188,Loyd,Hurst,M,(296) 265-2569,8/26/04,3065 Lienhart Rd,Dansville,48819,MI
9047,Gayle,Mclean,F,(489) 510-0680,8/20/65,222 E Jackson Ave,Ashburn,11364,GA
1394,Berry,Garrison,M,(460) 660-6393,4/21/05,5749 228th St,Oakland Gardens,11364,NY
7421,Colton,Macdonald,M,(937) 718-6303,12/20/65,717 Elm St,Minneapolis,67467,OR
896,Kay,Good,F,(290) 780-1027,10/4/54,12 Hathaway Ln,Manchester,6040,ID
6143,Samual,Arellano,M,(857) 601-9760,5/5/07,317 Briarwood Dr,Poplar Grove,61065,CA
1389,Herbert,Parsons,M,(264) 413-3150,10/9/87,818 Goldfinch Ct,La Valle,53941,TN
1924,Johnathan,Burton,M,(202) 398-5923,10/18/60,6231 Green Valley Cir,Culver City,90230,OR
3232,Wade,Reyes,M,(738) 643-2346,10/17/11,78 Brainerd Rd,Allston,2134,TX
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
